session_index,image_index,AU1_activation_value,AU2_activation_value,AU4_activation_value,AU5_activation_value,AU6_activation_value,AU9_activation_value,AU12_activation_value,AU15_activation_value,AU17_activation_value,AU20_activation_value,AU25_activation_value,AU26_activation_value
14,1,0.06333333333333335,0.016666666666666663,0.03666666666666665,0.06999999999999999,0.22333333333333316,0.06999999999999999,0.10333333333333333,0.04666666666666641,0.21666666666666667,0.043333333333333335,0.2033333333333334,0.08000000000000002
14,5,0.16999999999999998,0.16333333333333336,0.09333333333333334,0.043333333333333335,0.023333333333333428,0.016666666666666677,0.17333333333333334,0.45666666666666667,0.9933333333333333,0.11000000000000001,0.019999999999999574,0.8933333333333333
15,1,0.08666666666666666,0.053333333333333344,0.10000000000000002,0.026666666666666665,0.22666666666666666,0.003333333333333341,0.04999999999999999,0.5599999999999999,0.39333333333333337,0.05,0.03666666666666668,0.03666666666666668
15,2,0.2733333333333333,0.30333333333333334,0.11999999999999997,0.17333333333333334,0.4666666666666668,0.010000000000000009,0.15,1.2733333333333334,0.76,0.11666666666666668,0.25666666666666665,0.2533333333333333
15,3,0.19,0.18666666666666665,0.14666666666666664,0.06666666666666668,0.35,0.03666666666666667,0.13666666666666666,0.6100000000000002,0.8333333333333333,0.12333333333333334,1.3466666666666665,1.0033333333333334
15,4,0.13666666666666666,0.11666666666666665,0.4133333333333334,0.13333333333333333,0.21666666666666667,0.07,0.05666666666666666,0.9733333333333333,0.35999999999999993,0.20999999999999996,0.0,0.0
16,1,0.11333333333333334,0.10000000000000003,0.14333333333333337,0.13666666666666666,0.7466666666666666,0.026666666666666672,0.0933333333333333,0.48333333333333317,0.5999999999999999,0.19,0.09333333333333335,0.12666666666666665
16,2,0.06,0.05666666666666668,0.06333333333333337,0.003333333333333327,0.25333333333333347,0.06666666666666668,0.07333333333333333,0.18333333333333335,0.016666666666666607,0.24666666666666667,0.1,0.11666666666666667
16,4,0.12666666666666665,0.04666666666666668,0.12,0.04,0.15333333333333332,0.14333333333333334,0.07333333333333333,0.2633333333333333,0.07666666666666677,0.07,0.07,0.14
17,1,0.17333333333333334,0.05333333333333333,0.1433333333333334,0.13333333333333333,0.09333333333333332,0.03666666666666665,0.19999999999999998,0.043333333333333335,0.033333333333333215,0.26,0.23,0.17
17,2,0.59,0.4066666666666667,0.05333333333333336,0.15666666666666665,0.3866666666666668,0.1366666666666667,0.63,0.5466666666666666,0.6366666666666665,0.0,1.5733333333333333,1.8833333333333333
17,3,1.4933333333333334,1.6133333333333333,0.18333333333333335,0.37,0.35,0.17,0.16000000000000003,0.0,0.26333333333333364,0.21,2.0733333333333333,1.23
17,4,0.5666666666666665,0.7000000000000001,0.8633333333333334,0.10666666666666667,0.3533333333333333,0.09,0.13333333333333333,0.9233333333333333,0.41333333333333333,0.16333333333333333,0.7566666666666668,0.48
17,5,0.11666666666666667,0.08333333333333334,0.056666666666666685,0.10666666666666666,0.0866666666666667,0.05666666666666667,0.04000000000000001,0.69,0.17,0.04666666666666667,0.06,0.08333333333333334
18,1,0.03333333333333333,0.06666666666666667,0.13999999999999999,0.05333333333333333,0.3500000000000001,0.04333333333333333,0.06,0.5499999999999999,0.16666666666666666,0.009999999999999998,0.09000000000000002,0.02999999999999997
18,2,0.10666666666666667,0.11333333333333334,0.0,0.09333333333333332,0.6666666666666666,0.11333333333333334,0.1766666666666667,0.4866666666666669,0.78,0.12333333333333334,0.0866666666666667,0.27
18,3,0.4600000000000001,0.32666666666666666,0.13333333333333333,0.07,0.4433333333333334,0.046666666666666676,0.20666666666666664,0.5899999999999999,0.6600000000000001,0.1433333333333333,0.04000000000000001,0.06666666666666667
19,1,0.09000000000000002,0.0,0.0,0.006666666666666666,0.3966666666666666,0.06,0.08333333333333331,0.27333333333333343,0.15666666666666673,0.16333333333333333,0.29,0.49666666666666665
19,2,0.13333333333333336,0.19333333333333333,0.22666666666666668,0.07,0.3866666666666667,0.043333333333333335,0.08666666666666667,1.04,0.7033333333333334,0.12333333333333332,0.31000000000000005,0.35000000000000003
19,3,0.98,1.106666666666667,0.6500000000000001,0.38333333333333336,0.2899999999999999,0.03,0.11666666666666665,0.6033333333333333,0.82,0.33999999999999997,0.18999999999999995,0.26
